name,categories,prestige,points,pit_stop,start_type,field_type,parc_ferme,events_count,tags,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,start_year,end_year,default_included,intro
IMSA Michelin Pilot Challenge,"GT4,MiniChallenge",50,"350,320,300,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10",TRUE,rolling,,TRUE,11,"GT,Multiclass,North America,IMSA",1,3,1,12,1,22,2012,,FALSE,"This US competition throws Touring Cars into the ring with a field of GT4 cars, for some hard multi-class racing between very different machinery. The GT4s are much faster than their TC counterparts, but no matter what car you're in, keeping pace without causing a crash is key, the season is long, and consistency is the winner."
IMSA VP Racing SportsCar Challenge,"P1Gen2,GT3,GT4",42,"350,320,300,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10",FALSE,rolling,,TRUE,11,"GT,Multiclass,North America,Prototype,IMSA",1,3,1,12,1,23,2023,,FALSE,"This multi-class sprint series is a good introduction to professional endurance racing, which is reflected in the variety of cars featured, with Prototypes, GT3s and GT4s all fighting their own battles at the same time. Traffic awareness and preparation is critical here, mind your overtakes and your mirrors, and stay out of trouble if you want to win!"
IMSA WeatherTech SportsCar Championship,"LMDh,LMP2,GT3_Gen2",96,"350,320,300,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10",TRUE,rolling,,TRUE,11,"Multiclass,GT,Prototype,North America,IMSA",1,3,1,12,1,19,2023,,FALSE,"Welcome to the American Dream of Sportscar racing, where you'll do battle amongst LMPs, LMDhs and the latest GT3s to try and claim the crown. There are grand prixes, sprints and endurance races to test your mettle throughout the season. Top level racers congregate here and they will make you fight for every position."
Indy NXT,F-USA_Gen3,81,"50,40,35,32,30,28,26,24,22,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,FALSE,12,"Open Wheel,North America,Indy",1,3,1,12,1,20,2000,,FALSE,"This championship is the highest tier of 'Road to Indy' competitions, but you'd be foolish to write this off as a feeder series. These American open-wheelers are straight-line missiles coated in carbon fibre and are no less capable than their Formula 2 relatives. They will demand precision and caution, as will your competing drivers, be prepared!"
Intercontinental GT Challenge,GT3_Gen2,88,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,5,"GT,World,SRO",1,3,1,12,1,19,2022,,FALSE,"This competition is the full-fat endurance roster for the GT3s, and these Gen 2 machines will be expected to be driven across 12 hour runs, 1000km hurdles and 24 hour marathons. Ensure you get plenty of practice in, dial in your setup, choose your pit strategies carefully, and concentrate on finishing the race. Plan ahead and the points will follow."
KZ Karting World Championship,KartShifter,28,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,identical,FALSE,10,"Karting,World",1,3,1,12,1,19,2016,,FALSE,"Step up into the fastest, most demanding class in the sport, the same 125cc two-stroke platform, but now backed by a hand-operated six-speed sequential gearbox producing around 52 horsepower. Suddenly there's a clutch to manage off the line, gearshifts to time perfectly on corner exit, and a machine that will punish a lazy heel-and-toe every bit as much as a bad entry. It's widely considered the closest thing to real single-seater racing on four small wheels, master it and you'll have nothing left to prove about your car control."
Lamborghini Super Trofeo Europe,Super Trofeo,71,"15,12,10,8,6,5,4,3,2,1",TRUE,rolling,,TRUE,6,"GT,One Make,Europe",1,3,1,12,1,21,2024,,FALSE,"The Huracan EVO2s may be a little more comfortable in their home region than across the Atlantic, but they're still ferocious straight-line machines that'll demand strong braking and the ability to get the nose pointed early to properly fling them out of the chicanes. Mind your markers and don't get too greedy on the brakes in this one-make series!"
Lamborghini Super Trofeo North America,Super Trofeo,69,"15,12,10,8,6,5,4,3,2,1",TRUE,rolling,,TRUE,6,"GT,One Make,North America",1,3,1,12,1,21,2024,,FALSE,"This one-make series is a bridge between GT4 and GT3 racing, with aggressive Lamborghini Huracan EVO2s that will happily put the hammer down on the straights, but will need a firm hand in the slower sections; they're not as agile or planted as the GT3s. Take full advantage of the ABS and TC and be aware of getting squeezed on the tighter bends."
Le Mans Endurance Series,"LMP1_05,LMP2_05,GT1_05,GT2_05",100,"10,8,6,5,4,3,2,1",FALSE,rolling,,TRUE,6,"Multiclass,GT,Prototype,Europe",1,3,1,12,1,19,2000,2010,FALSE,
Ligier European Series,LES_2025,39,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,6,"Prototype,Europe",1,3,1,12,1,23,2023,,FALSE,"This exclusive series might deceive at first, but the Ligiers are not trackday tourist cars, hard slicks, an endurance fuel tank and over 350hp will quickly disabuse you of that notion! The cars reflect the competition; full sized circuits, keen drivers and a comprehensive examination of how you keep a fast, mid-engined car on the track and in the points."
Lurani Trophy Formula Junior,F-Junior,50,"10,8,6,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1",FALSE,standing,identical,TRUE,5,"Historic,Open Wheel,Europe",1,3,1,12,1,19,1998,,FALSE,"Welcome to a genuine piece of motorsport history, brought back to life on modern European circuits. These Formula Junior cars, some front-engined, some rear, running tiny 1.0 to 1.1-litre engines, were the category that gave a generation of future world champions their first taste of open-wheel racing back in the late '50s and early '60s, and the Trophy that carries Count Lurani's name exists to keep that spirit exactly as it was. Modest power means momentum is everything, scrub off your corner speed and there's precious little engine to bail you out on the way back up, so smoothness and mechanical sympathy count for far more than outright bravery. Respect the machinery, these are irreplaceable pieces of history worth more than any trophy, and you'll find this grid one of the most rewarding, technical challenges in historic racing today."
Michelin Le Mans Cup,"GT3,P1Gen2",47,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,6,"GT,Multiclass,Europe,WEC",1,3,1,12,1,22,2023,,FALSE,"This championship is a smaller endurance format than the likes of WEC or IMSA, but still has the classic tracks, prototypes, GT3s and pit strategies to whet your appetite. These machines have lots of downforce, setup potential, and if treated with respect, can be surprisingly forgiving and easy to drive. Just make sure you have enough in the tank!"
Mini Challenge,MiniChallenge,38,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,6,"GT,One Make,United Kingdom",1,3,1,12,1,23,2002,,FALSE,"This popular support series for British Touring Cars will see you behind the wheel of a MINI Cooper JCW, if this is your first taste of hot hatches, expect understeer, scrappy handling and fierce power through the corners. Get it turned in early, keep up the momentum and make full use of what you've got, these cars expect to be driven hard."
NASCAR Brasil Series,SprintRace,80,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,TRUE,10,"Stock Car,South America,NASCAR",1,3,1,12,1,19,2012,,FALSE,
NASCAR Cup Series (Gen 3),Stock_USA_Gen1,90,"175,170,165,160,155,150,146,142,138,134,130,127,124,121,118,115,112,109,106,103,100,97,94,91,88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43",TRUE,rolling,identical,TRUE,16,"Stock Car,North America,NASCAR",1,3,1,12,1,19,1981,1991,FALSE,
NASCAR Cup Series (Gen 4),Stock_USA_Gen2,90,"180,170,165,160,155,150,146,142,138,134,130,127,124,121,118,115,112,109,106,103,100,97,94,91,88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43",TRUE,rolling,identical,TRUE,16,"Stock Car,North America,NASCAR",1,3,1,12,1,19,1992,2021,FALSE,
NASCAR Cup Series (Next Gen),Stock_USA_Gen3,90,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,TRUE,16,"Stock Car,North America,NASCAR",1,3,1,12,1,19,2022,,FALSE,
NASCAR Euro Series (Gen 4),Stock_USA_Gen2,80,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,TRUE,6,"Stock Car,Europe,NASCAR",1,3,1,12,1,19,2009,2021,FALSE,
NASCAR Euro Series (Next Gen),Stock_USA_Gen3,80,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,TRUE,6,"Stock Car,Europe,NASCAR",1,3,1,12,1,19,2022,,FALSE,
NASCAR Second Division (Gen 3),Stock_USA_Gen1,75,"175,170,165,160,155,150,146,142,138,134,130,127,124,121,118,115,112,109,106,103,100,97,94,91,88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43",TRUE,rolling,identical,TRUE,14,"Stock Car,North America,NASCAR",1,3,1,12,1,19,1981,1991,FALSE,
NASCAR Second Division (Gen 4),Stock_USA_Gen2,75,"180,170,165,160,155,150,146,142,138,134,130,127,124,121,118,115,112,109,106,103,100,97,94,91,88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43",TRUE,rolling,identical,TRUE,14,"Stock Car,North America,NASCAR",1,3,1,12,1,19,1992,2021,FALSE,
NASCAR Second Division (Next Gen),Stock_USA_Gen3,75,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,TRUE,14,"Stock Car,North America,NASCAR",1,3,1,12,1,19,2022,,FALSE,
National Formula Ford Championship,F-Trainer,41,"30,27,24,22,20,18,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,8,"Open Wheel,United Kingdom",1,3,1,12,1,23,2012,,FALSE,"The Formula Trainers in this spec series are much like their cousins in the American division: light, sensitive to bumps, and good teachers for your concentration and ability to find grip, when the car isn't helping with wings or limited slip diffs. The corners on these UK tracks will reward you if you can use the sensitivity to your advantage."
Northern Europe GT Championship,"GT1_05,GT2_05,GTR_04",70,"10,8,6,5,4,3,2,1",FALSE,rolling,,TRUE,8,"Multiclass,GT,Europe",1,3,1,12,1,19,2000,2010,FALSE,
NTT IndyCar,F-USA_2023,94,"50,40,35,32,30,28,26,24,22,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,FALSE,16,"Open Wheel,North America,Indy",1,3,1,12,1,19,2000,,FALSE,"The USA's premier open-cockpit series features twin-turbo V6 cars, over 700hp, slippery, high-speed frames and push-to-pass systems. This is the ultimate showcase of American Formula racing, with ovals, street circuits and classic GP tracks. This competition is not for the faint-hearted, or the reckless, good luck and good racing."
Nürburgring Langstrecken-Serie,"GT3_Gen2,GT4",82,"15,11,8,6,4,3,2,1",TRUE,rolling,,FALSE,8,"GT,Multiclass,Europe",1,3,1,12,1,20,2022,,FALSE,"Eight rounds of racing, full grids of GT machinery, 24 hours at the longest circuit in motor-racing today. The Green Hell will break cars and their drivers across one of the most gruelling endurance formats, you need lots of concentration, clean driving, and plenty of luck to make it to the end. Finishing is a win, anything above is a bonus."
OK Karting World Championship,Kart125cc,24,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,identical,FALSE,9,"Karting,World",1,3,1,12,1,19,2016,,FALSE,"This is where the world's best young talent gets measured, a single-speed, direct-drive 125cc two-stroke pushing somewhere around 34 to 36 horsepower through a chassis that weighs next to nothing. No gearbox means no distractions, just pure, unfiltered kart control, and with a grid full of drivers who've already been winning everywhere they've raced, the margins for error shrink to almost nothing. Get your entry speed and your exits right here, and you'll have proven you belong on the shortlist every junior single-seater team is watching."
Old Stock Race,OldStock,45,"25,18,15,12,10,8,6,4,2,1",FALSE,rolling,identical,TRUE,8,"Stock Car,South America,Retro",1,3,1,12,1,19,2017,,FALSE,"Welcome to a proper slice of Brazilian racing folklore, back on track today the way it was born decades ago. These 1979 Opalas carry the same big, torquey inline-six under the bonnet, wrapped in a heavy steel body that was never meant to corner like a modern tin-top, so weight transfer and momentum management will define your whole race. Contact is part of the culture here, these cars were built for door-to-door battles long before anyone worried about carbon splitters, so expect elbows out and paint traded in every braking zone. Respect the history under you, but don't be shy about using it, the Opala earned its legend by being raced hard, not preserved in a museum."
Ortona Karting Club,KartGX390,10,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,identical,FALSE,8,"Karting,Italy",1,3,1,12,1,19,2016,,FALSE,"Same honest, single-speed formula as its sister club across the ocean, the reliable Honda GX390 four-stroke doing the work while you focus entirely on where to put the kart. There's nowhere to hide in a field this close, drafting battles and last-lap moves are the norm rather than the exception, and the tiniest mistake in traffic can cost you half the grid in an instant. This is grassroots racing at its most genuine, come here to sharpen your racecraft against a paddock that takes it just as seriously as you do."
Porsche Carrera Cup North America,Carrera Cup,74,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,One Make,North America",1,3,1,12,1,21,2010,,FALSE,"Porsche's Cup series tests all participants very hard across the American circuits, the balance on some of these tracks can be on a knife edge, and you'll need to temper your straight-line braking to keep control of these 911 Cup Cars, they're not far behind their GT3 racing siblings in terms of pace!"
Porsche Carrera Cup UK,Carrera Cup,73,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,One Make,United Kingdom",1,3,1,12,1,21,2010,,FALSE,"You'll be partaking in one of the most reputable one-make series across the UK's finest tracks, the Carrera Cup cars are all derived from either the 991 or 991.2 generation of Porsche 911 Cup cars, with their famously athletic rear-engined boxer sixes and rear wheel drives. The field will be close, and the benchmark is high here, keep your wits about you."
Porsche Carrera Supercup,Carrera Cup,83,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,One Make,Europe",1,3,1,12,1,20,2010,,FALSE,"This is one of the official support series for the F1 calendar, and even if the 911 Cup cars aren't quite as fast as the main feature, they still attract prestigious talent and bring out some truly electric racing. Like any one-make series you are the main factor in edging out positions over your opponents, and the cleaner your drive, the bigger your rewards."
Puma GT5 Desafio,GT5,35,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,6,"GT,South America",1,3,1,12,1,19,2013,,FALSE,"A one-make showdown in the Puma P052, a proper lightweight sports racer built to bring out the best in Brazilian club racing. With even machinery across the board, this series lives and dies on braking points and racecraft, there's nowhere to hide if your lines aren't clean. Get your rhythm right in the Puma and the rest of the grid will be fighting to keep up with you, not the other way around."
Radical Cup Europe,P4,60,"40,35,30,27,24,22,20,16,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,6,"Prototype,Europe",1,3,1,12,1,21,2012,,FALSE,"The Radical Cup features a fairly traditional format, with the MCRs on the grid resembling Group 6 cars, these 2.0 litre, tube-framed machines weigh less than a Formula Vee, but are much more potent off the line. Be aware of the liftoff oversteer in these cars, use the throttle to keep it under control, and bring it home in smooth fashion!"
Radical Cup North America,P4,61,"40,35,30,27,24,22,20,16,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,6,"Prototype,North America",1,3,1,12,1,21,2012,,FALSE,"The North American arm of the Radical Cup is as intense and electric a racing competition as the European division, the MCR S2000 is the star weighing only 525kg, and will require you to be smooth and precise with 217hp under it. The American circuits will present as tough a challenge as your opponents will, so make sure you're in harmony with the car!"
Rolex Sports Car Series,"GT2_05,GTR_04",60,"35,32,30,28,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,TRUE,9,"Multiclass,GT,North America",1,3,1,12,1,19,2002,2013,FALSE,
Southern Europe GT Championship,"GT1_05,GT2_05,Trofeo_2005",70,"10,8,6,5,4,3,2,1",FALSE,rolling,,TRUE,8,"Multiclass,GT,Europe",1,3,1,12,1,19,2000,2010,FALSE,
Speed World Challenge,GT1_05,45,"25,23,21,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,North America",1,3,1,12,1,19,2002,2010,FALSE,
Stock Car Brasil (1979),Opala79,90,"25,20,16,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,FALSE,10,"Stock Car,South America",1,3,1,12,1,19,1979,1985,FALSE,
Stock Car Brasil (1986),Opala86,90,"25,20,16,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,FALSE,10,"Stock Car,South America",1,3,1,12,1,19,1986,1998,FALSE,
Stock Car Brasil (1999),StockCar99,90,"25,20,16,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,FALSE,10,"Stock Car,South America",1,3,1,12,1,19,1999,2009,FALSE,
Stock Car Brasil (2010),StockCarV8,90,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,TRUE,10,"Stock Car,South America",1,3,1,12,1,19,2010,2019,FALSE,
Stock Car Brasil (2020),StockCarV8_2020,90,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,TRUE,10,"Stock Car,South America",1,3,1,12,1,19,2020,2020,FALSE,
Stock Car Brasil (2021),StockCarV8_2021,90,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,TRUE,10,"Stock Car,South America",1,3,1,12,1,19,2021,2021,FALSE,
Stock Car Pro Series,StockCarV8_2024,90,"80,74,69,64,59,55,51,47,43,40,37,34,31,28,25,22,19,17,15,13,12,11,10,9,8,7,6,5,4,3",TRUE,rolling,,TRUE,12,"Stock Car,South America",1,3,1,12,1,19,2024,,FALSE,
Stock Car Pro Series (2022),StockCarV8_2022,90,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,TRUE,10,"Stock Car,South America",1,3,1,12,1,19,2022,2022,FALSE,
Stock Car Pro Series (2023),StockCarV8_2023,90,"30,26,22,19,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,TRUE,12,"Stock Car,South America",1,3,1,12,1,19,2023,2023,FALSE,
Stock Light Brasil,Montana,70,"24,20,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,identical,TRUE,8,"Stock Car,South America",1,3,1,12,1,19,2000,,FALSE,
Super Trophy Trucks,STT,40,"25,22,20,18,16,15,14,13,12,11,10,9,8,7,6",FALSE,standing,identical,FALSE,6,"Trophy Truck,World",1,3,1,12,1,19,2013,,FALSE,"Forget everything you know about racing lines, this grid is about jumps, contact and full commitment. Every truck runs the same Chevy V8 pushing well over 650 horsepower, stuffed into a tube-frame chassis that weighs in around 1,300 kg, with enormous suspension travel built to soak up landings, not just corners. The purpose-built circuits blend regular tarmac sections with man-made ramps that send you flying tens of metres through the air, so throttle control on the way up matters just as much as where your wheels point on the way down. It's rear-wheel-drive, it's a little bit chaotic, and it rewards the driver willing to commit fully to a jump rather than back off and lose the spot, this is racing built for spectacle as much as for the stopwatch."
SuperKart World Championship,SuperKart,32,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,identical,FALSE,12,"Karting,World",1,3,1,12,1,19,2019,,FALSE,"Forget everything you thought you knew about karts, these 250cc machines run on full-scale, 1.5 km-plus circuits and hit speeds that put them in the same conversation as production-based race cars. The extra displacement and full aero package mean serious top speed down the straights, but the karts remain tiny and low, so braking points come up faster than your eyes will initially believe. This is the very top of the karting pyramid, physically and mentally, respect the speed and you'll discover one of the most underrated disciplines in all of motorsport."
TSI Cup Brasil,TSICup,35,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,FALSE,10,"GT,One Make,Brazil",1,3,1,12,1,19,2021,,FALSE,"Welcome to a genuinely accessible entry point into circuit racing, built around two of the most familiar cars on Brazilian roads. Both the Polo and the Virtus run the same 1.0-litre TSI three-cylinder turbo, good for around 128 horsepower on ethanol, so the fight comes down almost entirely to who brakes latest and carries the most momentum, not who's got the bigger engine. It's front-wheel-drive racing in its purest, most tactical form, drafting on the straights, blocking into the corners, and looking for every inch through traffic. Cut your teeth here and you'll leave with the racecraft habits that translate to just about anything with a steering wheel."
TSI Cup Europe,TSICup,35,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,FALSE,10,"GT,One Make,Europe",1,3,1,12,1,19,2021,,FALSE,"The European chapter of the TSI ladder brings that same close, front-wheel-drive philosophy to the continent's classic club circuits. Same Polo, same Virtus, same modest turbocharged three-cylinder under the bonnet, which means the grid stays tight and the racing stays about the driver, not the chassis balance sheet. Expect slipstream battles into every braking zone and a field where a single mistake can drop you five positions in the blink of an eye. It's an unglamorous recipe on paper, and an absolutely brilliant one on track."
TSI Cup World,TSICup,40,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,FALSE,10,"GT,One Make,World",1,3,1,12,1,19,2021,,FALSE,"The flagship of the family steps things up with the GTS-spec Polo and Virtus, their 1.4-litre turbocharged engine putting out around 150 horsepower, enough extra punch to sharpen up every overtake without losing the series' close, hard-fought character. Running across circuits on multiple continents, this is where the best from the regional TSI Cups come to measure themselves against each other, so expect the racecraft to be sharper and the mistakes to be punished harder. Learn to manage a longer, more physical season across very different tracks and climates, and you'll come out the other side a genuinely complete driver."
Turismo Carretera,StockCarV8_2023,80,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,,TRUE,6,"Stock Car,South America",1,3,1,12,1,19,2023,,FALSE,"Welcome to one of the most storied championships in South American motorsport, where the road-going Cruze and Corolla you see on the grid are really just fibreglass silhouettes, faithful in shape but hiding a purpose-built tubular chassis and a spec inline-six engine underneath. That engine puts out somewhere around 500 horsepower, a huge number for a car this heavy, and it's built to a single regulated formula so the fight stays about the driver rather than the badge on the nose. These cars are big, torquey and old-school to drive, momentum and car placement will win you more positions than late braking ever will. It's a demanding, physical style of racing with a fiercely loyal following, earn respect here and you've earned it in one of the toughest paddocks anywhere."
USF Juniors,F-Trainer_A,44,"30,25,22,19,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,FALSE,8,"Open Wheel,North America",1,3,1,12,1,22,2022,,FALSE,"The Formula Trainer Advanced series is bigger, faster and broader than the lower divisions, giving you more power and slick tyres, and expecting more from you in turn, with full length tracks and much more to lose if you mess it up. Preserving your momentum on exit and finding that balance with the nose and the grip is still paramount here."
USF Pro 2000,F-3,62,"30,25,22,19,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,FALSE,10,"Open Wheel,North America",1,3,1,12,1,21,2017,,FALSE,"Get ready for a power to weight ratio of 464 hp/tonne, gritty oval racing, serpentine GP tracks and the tight-knit racing that Formula 3 machines bring to the table. The Dallara F301s and F309s in this field are very evenly matched, with the latter only featuring slightly better aero and an extra gear in their box. But a good driver is the difference maker here."
USF2000,F-Inter,52,"30,25,22,19,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,FALSE,9,"Open Wheel,North America",1,3,1,12,1,22,2015,,FALSE,"Welcome to the natural evolution of Kart Racing, These F4 Grade cars aren't very powerful with sub 200hp, but they're an excellent midway between Karts and faster Formulas. It's all about balance with these cars, they're light, lively and fantastic for refining both your offensive and defensive racing."
World Endurance Championship,"LMDh,GT3_Gen2",98,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,8,"Multiclass,GT,Prototype,World,WEC",1,3,1,12,1,19,2023,,FALSE,"This is the final test of your endurance skills, whether you're an LMDh specialist with 600hp hybrids, or a GT3 Gen2 star scrapping with over 500hp delivered the old-fashioned way. Whichever you're driving, the overall winner is the driver that doesn't break down, crash, or chew through too much rubber. Keep calm and prepare yourself."
